# run layer offset offset_err slope slope_err fit_ok
2447 0 9.77500000023 12.6957177814 0.100000000003 0.141421356231 0
2447 1 -0.100000000008 6.32771365028 0.00115942028976 0.0733647959453 0
2447 2 2.29999999911 6.32771365028 -0.0412556053971 0.113501590139 0
2447 3 4.92857142857 1.417465761 0.0571428571428 0.0202030508907 0
2447 4 2.01937990508 0.173910073617 0.0124697317481 0.00345098532153 1
2447 5 0.157937030328 0.0308028594587 0.000445434231213 0.000589507669405 1
2447 6 0.170817150365 0.0239367518 0.000385398741213 0.000453513897376 1
2447 7 0.134757444566 0.0224294184468 0.000367231662079 0.000425306358486 1
2447 8 0.130138193986 0.0232287932455 -9.17528957652e-06 0.000430215137963 1
2447 9 0.230168070772 0.0240002398201 0.00045815018677 0.000442451674829 1
2447 10 0.0144283744572 0.0310205541261 5.88232779964e-05 0.000605216809391 1
2447 11 -0.209248719564 0.0256025449388 0.000175685269388 0.000491707949812 1
2447 12 -0.518933312418 0.0238718320988 0.000111712792728 0.000455457417638 1
2447 13 -0.280850695804 0.0248043861046 0.000119267762818 0.000466914298521 1
2447 14 -0.209851320351 0.021474862327 -0.000251784374746 0.000413639115775 1
2447 15 -0.177264483907 0.0235083328313 -0.000439837507481 0.000460822173993 1
2447 16 -0.0381154590533 0.0222782669333 6.02751512826e-05 0.000432209703119 1
2447 17 -0.0289815039485 0.0218470816602 0.000179783580021 0.000421102891515 1
2447 18 -0.0088732499534 0.0218542846885 0.000333629912204 0.00042208342969 1
2447 19 0.00582863245831 0.0217248700935 -1.53311700171e-07 0.000422107276597 1
2447 20 0.0492672944799 0.0254255210791 -8.94361792136e-05 0.000504008626058 1
2447 21 0.0752834227113 0.0253417901103 -0.000173049753001 0.000506498422132 1
2447 22 0.0637405647504 0.0202851430173 -9.06338855915e-05 0.000408749647804 1
2447 23 0.0549854826399 0.02244559829 4.02337224876e-05 0.000451044909802 1
2447 24 0.0685013650015 0.0207826987901 -0.000382139868049 0.000420286470217 1
2447 25 0.0882161670945 0.0225324558143 -2.26017678201e-06 0.000455765414958 1
2447 26 0.08745468648 0.0214766755447 -1.98118641804e-05 0.000437375419781 1
2447 27 0.0743009183211 0.0233812828016 1.34987416107e-05 0.000481669799544 1
2447 28 0.147039087831 0.0311015241299 0.000883843817372 0.000637275061335 1
2447 29 0.0931173720599 0.0267333882069 -0.000146422911859 0.000550853466659 1
2447 30 0.0902083963475 0.027702610275 -0.000387519511685 0.000582807290757 1
2447 31 0.0900816524145 0.0295724272119 -0.000452496103183 0.000632531341804 1
