# run layer offset offset_err slope slope_err fit_ok
2447 0 9.77500000023 12.6957177814 0.100000000003 0.141421356231 0
2447 1 -0.299999999932 6.32771365028 0.00347826087035 0.0733647959453 0
2447 2 2.09999999932 6.3277136503 -0.0376681614473 0.11350159014 0
2447 3 4.92857142857 1.417465761 0.0571428571428 0.0202030508907 0
2447 4 1.98399876904 0.168817511744 0.0138315918372 0.0031843708894 1
2447 5 0.581259908576 0.0311309203492 0.00152580203182 0.000584798691925 1
2447 6 0.573045957562 0.0236537262645 0.00128387975978 0.000443671750917 1
2447 7 0.564796917158 0.0223932240366 0.000655920089606 0.000417639546646 1
2447 8 0.498547579548 0.0228162481292 0.000473722801849 0.000420469770371 1
2447 9 0.512582413271 0.0243035967682 -0.000613024377358 0.000444134470049 1
2447 10 0.571169906574 0.0319367225575 -0.00134483533718 0.000629728642532 1
2447 11 1.06243316639 0.0289835334012 0.000877106486616 0.000556148180707 1
2447 12 -2.07399894746 0.0309306208033 0.00119879121463 0.000584575687042 1
2447 13 -2.26974549828 0.0294604815713 0.000225249313276 0.0005509214903 1
2447 14 -2.32147153424 0.0257826063709 0.000561288818234 0.000494148537223 1
2447 15 -2.34313089951 0.0274572067176 0.000163321944051 0.000533208586987 1
2447 16 -0.328445897348 0.0228324761394 -0.000440769321094 0.000441225509836 1
2447 17 -0.431202030522 0.0232620258986 0.000676686995725 0.000443948853278 1
2447 18 -0.474617891482 0.0223551772569 -0.000740953810211 0.000426423290048 1
2447 19 -0.469343200684 0.0225323433545 -0.000397074321851 0.000435084160755 1
2447 20 0.651671235201 0.0256259056614 -0.000228577950082 0.000503358965464 1
2447 21 0.600586539797 0.0246314640476 -0.000750375856815 0.000487969154485 1
2447 22 0.550393936114 0.0213983021232 -0.000973052825203 0.000428838841611 1
2447 23 0.487896102175 0.0217093982817 -0.00107124390134 0.000431133672515 1
2447 24 0.460629452687 0.0208470038781 -0.000216908203528 0.000415753076142 1
2447 25 0.416694949404 0.0218497384494 -0.000173408467101 0.000435995442986 1
2447 26 0.318290770508 0.0216509630749 -0.000968025052611 0.000439971287736 1
2447 27 0.201153506404 0.023949614298 -0.000154070217961 0.000490432282543 1
2447 28 0.197913426846 0.0316609212115 -0.000461893991701 0.000645317200156 1
2447 29 0.0677935243515 0.0262411965543 0.000596711142973 0.000539061233486 1
2447 30 -0.0210347273824 0.0276594083225 0.00105470604588 0.000574229671336 1
2447 31 -0.236627342156 0.030023627936 0.00104638945851 0.000637672476939 1
